Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.999787048176879	-73.81909286212188	0.0444	0.0492	0.0415	0.0485	0.0496	0.0451	0.0345	0.0331	agua
4.999384229132977	-73.81949763332592	0.0523	0.0488	0.0354	0.0378	0.0381	0.0234	0.0348	0.0289	agua
4.999383501358456	-73.8190935850085	0.0972	0.087	0.0642	0.0625	0.0578	0.0788	0.0506	0.0354	agua
4.999382773335025	-73.81868953675064	0.0573	0.0605	0.052	0.0586	0.0595	0.0391	0.051	0.0497	agua
4.998981409717057	-73.8199024040361	0.0605	0.0698	0.0662	0.0739	0.0833	0.0348	0.067	0.0643	agua
4.998980682250461	-73.81949835590629	0.1568	0.1538	0.1395	0.1476	0.1546	0.1682	0.1381	0.1162	agua
4.998979954534976	-73.81909430783605	0.1313	0.1267	0.1085	0.1117	0.1152	0.1568	0.1008	0.0772	agua
4.998979226570597	-73.81869025982536	0.1107	0.114	0.1044	0.1124	0.1196	0.0974	0.1061	0.0928	agua
4.998579316839026	-73.82071122225409	0.0353	0.0343	0.0251	0.0327	0.0308	0.0115	0.0257	0.0295	agua
4.998578589929184	-73.82030717425242	0.0693	0.0764	0.0684	0.0743	0.0765	0.0629	0.0647	0.0557	agua
4.998577862770473	-73.81990312631025	0.1221	0.1196	0.1059	0.113	0.1224	0.1256	0.104	0.0836	agua
4.99857713536289	-73.8194990784276	0.1328	0.1381	0.132	0.1464	0.1591	0.1271	0.153	0.14	agua
4.998576407706436	-73.8190950306045	0.1733	0.1595	0.1353	0.1424	0.1403	0.1828	0.1363	0.1063	agua
4.99857567980111	-73.81869098284098	0.1603	0.162	0.1522	0.1675	0.1815	0.151	0.1643	0.1406	agua
4.998574951646915	-73.81828693513705	0.2003	0.186	0.1609	0.1681	0.1748	0.2372	0.1517	0.1157	agua
4.998176496371434	-73.82111599178897	0.1096	0.0995	0.0791	0.081	0.0775	0.0922	0.0673	0.0499	agua
4.998175769769417	-73.82071194397493	0.0352	0.0355	0.025	0.0269	0.0238	0.0194	0.0201	0.0191	agua
4.9981750429185485	-73.82030789622038	0.0571	0.0606	0.0523	0.0588	0.0621	0.0522	0.0461	0.0449	agua
4.998174315818828	-73.81990384852534	0.0749	0.0854	0.0819	0.0967	0.1122	0.0782	0.0992	0.0922	agua
4.998173588470258	-73.81949980088983	0.2108	0.2096	0.1995	0.2181	0.2373	0.2098	0.2204	0.1899	agua
4.998172860872835	-73.81909575331387	0.1832	0.1706	0.1511	0.1597	0.1615	0.2206	0.1576	0.1224	agua
4.998172133026564	-73.81869170579749	0.1253	0.1342	0.1331	0.1488	0.1684	0.1703	0.1386	0.1272	agua
4.998171404931442	-73.8182876583407	0.0562	0.0683	0.0686	0.0846	0.091	0.0923	0.0717	0.0685	agua
4.99777367553205	-73.82152076083007	0.0842	0.0888	0.0811	0.0898	0.0999	0.0532	0.0897	0.0759	agua
4.997772949237815	-73.82111671320368	0.168	0.1624	0.1441	0.1506	0.1538	0.1816	0.1302	0.0934	agua
4.997772222694749	-73.82071266563676	0.0675	0.0562	0.0341	0.0343	0.025	0.0485	0.0261	0.0166	agua
4.997771495902851	-73.82030861812932	0.0213	0.0253	0.0181	0.0227	0.0214	0.0073	0.0147	0.0177	agua
4.997770768862125	-73.8199045706814	0.0459	0.0557	0.0538	0.0646	0.076	0.0376	0.0641	0.0724	agua
4.997770041572567	-73.819500523293	0.161	0.181	0.1876	0.2128	0.239	0.2029	0.2015	0.1837	agua
4.997769314034176	-73.81909647596416	0.1524	0.1512	0.1383	0.1482	0.1568	0.192	0.1453	0.1141	agua
4.997768586246957	-73.81869242869489	0.0327	0.0287	0.0165	0.0196	0.0183	0.0294	0.0157	0.014	agua
4.997767858210909	-73.8182883814852	0.0225	0.0223	0.0106	0.0093	0.0098	0.0023	0.0035	0.0064	agua
4.99737012833444	-73.8215214819387	0.0935	0.1047	0.1047	0.1202	0.1344	0.1011	0.1089	0.092	agua
4.997369402099136	-73.82111743455941	0.1593	0.1582	0.1477	0.1635	0.178	0.1746	0.1459	0.1146	agua
4.997368675615022	-73.82071338723958	0.1157	0.1087	0.0894	0.0921	0.089	0.1371	0.0688	0.047	agua
4.997367948882097	-73.82030933997923	0.0185	0.0196	0.0093	0.0093	0.0035	0.0	0.0034	0.0032	agua
4.997367221900363	-73.81990529277842	0.0252	0.0281	0.0192	0.0226	0.0229	0.0099	0.016	0.0187	agua
4.997366494669817	-73.81950124563711	0.0326	0.0375	0.0317	0.0449	0.0448	0.0286	0.0372	0.044	agua
4.99736576719046	-73.81909719855537	0.0432	0.0567	0.0581	0.0697	0.0826	0.0422	0.0663	0.069	agua
4.997365039462292	-73.81869315153318	0.0365	0.0355	0.0214	0.0231	0.0187	0.0333	0.0138	0.0105	agua
4.997364311485317	-73.8182891045706	0.025	0.0256	0.0155	0.0188	0.0141	0.0106	0.0055	0.007	agua
4.997363583259531	-73.81788505766762	0.0243	0.0266	0.0148	0.0167	0.0118	0.0116	0.0073	0.0066	agua
4.996966581131774	-73.82152220298836	0.0566	0.067	0.0624	0.0743	0.0822	0.0468	0.0616	0.0597	agua
4.996965854955402	-73.82111815585614	0.1003	0.1102	0.1083	0.1227	0.1337	0.1307	0.0929	0.0787	agua
4.99696512853024	-73.82071410878339	0.0264	0.0309	0.0241	0.0284	0.0259	0.0228	0.0216	0.0198	agua
4.996964401856287	-73.82031006177013	0.0313	0.0311	0.0189	0.0197	0.0175	0.0163	0.0106	0.008	agua
4.996963674933545	-73.81990601481638	0.0238	0.0243	0.0135	0.0137	0.0107	0.0104	0.0077	0.0063	agua
4.996962947762009	-73.81950196792216	0.0284	0.0288	0.0172	0.0179	0.0141	0.0117	0.0076	0.0081	agua
4.996962220341685	-73.81909792108749	0.0233	0.0228	0.0115	0.0139	0.0089	0.0082	0.0042	0.005	agua
4.996961492672572	-73.81869387431239	0.0226	0.0251	0.0162	0.0191	0.0156	0.0104	0.0087	0.0081	agua
4.996960764754667	-73.81828982759687	0.0428	0.0426	0.0293	0.029	0.0276	0.0297	0.0177	0.0135	agua
4.996562307806611	-73.8211188770939	0.0223	0.026	0.0178	0.0199	0.0175	0.0079	0.0106	0.0123	agua
4.996561581440401	-73.82071483026822	0.0266	0.029	0.0184	0.0196	0.017	0.0132	0.0097	0.0106	agua
4.996560854825419	-73.82031078350201	0.0311	0.0347	0.0242	0.0264	0.0232	0.0202	0.0146	0.0151	agua
4.996560127961667	-73.81990673679532	0.0422	0.0429	0.0298	0.0329	0.0286	0.0252	0.022	0.0189	agua
4.996559400849145	-73.81950269014814	0.0495	0.0484	0.0352	0.0352	0.0334	0.0401	0.0253	0.0199	agua
4.996558673487854	-73.81909864356052	0.0299	0.0299	0.0182	0.0203	0.0154	0.016	0.0098	0.0092	agua
4.9961587606527615	-73.82111959827267	0.0382	0.0424	0.0323	0.036	0.0336	0.0301	0.0238	0.024	agua
4.996158034345503	-73.82071555169402	0.1024	0.1087	0.0993	0.1033	0.1057	0.1157	0.0869	0.0741	agua
4.996157307789493	-73.82031150517486	0.0863	0.0849	0.0697	0.0728	0.0718	0.0864	0.0619	0.0499	agua
4.996156580984733	-73.81990745871519	0.0879	0.0817	0.0652	0.0671	0.0656	0.0715	0.0577	0.0479	agua
4.996155853931224	-73.81950341231506	0.0658	0.0612	0.0456	0.0492	0.0454	0.0512	0.0449	0.0342	agua
4.995754487245548	-73.82071627306082	0.049	0.0563	0.0513	0.0615	0.0719	0.0249	0.0598	0.0612	agua
4.995753760748509	-73.82031222678867	0.1711	0.1597	0.1378	0.1468	0.1502	0.1547	0.1443	0.1157	agua
4.99535094014054	-73.82071699436864	0.0726	0.0733	0.0639	0.0727	0.0756	0.0439	0.0698	0.0704	agua
4.9413301710481345	-73.85192230254259	0.0209	0.0242	0.0123	0.0195	0.0066	0.0045	0.0023	0.0029	agua
4.9413294714545115	-73.85151828491286	0.0209	0.0247	0.0126	0.0196	0.0091	0.0059	0.0024	0.0042	agua
4.941328771614872	-73.85111426734107	0.0219	0.0264	0.0155	0.0219	0.011	0.0071	0.0055	0.0064	agua
